ClienteID,NombreCliente,TipoCliente,Provincia,Ciudad,Segmento,FechaAlta
1,Cliente 1,Productor,SANTIAGO,Bandera,Gran productor,2023-03-09
2,Cliente 2,Contratista,Sta Fe,Rosario,Gran productor,2023-05-14
3,Cliente 3,Contratista,Sta Fe,Rafaela,Pequeño productor,2023.01.06
4,Cliente 4,Productor,Córdoba,Río Cuarto,Pequeño productor,2023-02-10
5,Cliente 5,Productor,chaco,Resistencia,Pequeño productor,2023-05-30
6,Cliente 6,Empresa Agro,Santa Fe,Rafaela,Pequeño productor,2023-04-11
7,Cliente 7,Contratista,Sta Fe,Rafaela,Pequeño productor,2023-01-20
8,Cliente 8,Empresa Agro,Santa fé,Rafaela,Mediano productor,2023-12-03
9,Cliente 9,Productor,Santa Fe,Rosario,Pequeño productor,2023-08-05
10,Cliente 10,Contratista,Santiago del Estero,Quimilí,Mediano productor,2023-05-01
11,Cliente 11,Productor,Santiago del Estero,Quimilí,Contratista,2023-07-12
12,Cliente 12,Empresa Agro,Córdoba,Villa María,Gran productor,2023-04-04
13,Cliente 13,Contratista,Sta Fe,Rosario,Contratista,2023-08-10
14,Cliente 14,Contratista,Sal Ta,Metán,Mediano productor,2023-10-02
15,Cliente 15,Contratista,Sta Fe,Rosario,Gran productor,2023-11-12
16,Cliente 16,Contratista,Cordoba,Río Cuarto,Pequeño productor,2023-07-03
17,Cliente 17,Productor,Santa fé,Rafaela,Mediano productor,2023-05-12
18,Cliente 18,Contratista,Santa Fe,Rafaela,Gran productor,2023.07.10
19,Cliente 19,Productor,Santa Fe,Rafaela,,2023-04-01
20,Cliente 20,Contratista,Santiago del Estero,Quimilí,Contratista,2023-11-14
21,Cliente 21,Productor,cordoba,Villa María,Gran productor,2023-02-11
22,Cliente 22,Contratista,Santa Fe,Rosario,Contratista,2023-02-05
23,Cliente 23,Empresa Agro,Córdoba,Villa María,,2023-09-02
24,Cliente 24,Productor,Chaco ,Charata,Mediano productor,2023-06-25
25,Cliente 25,Productor,Santa fé,Rafaela,Contratista,2023-01-02
26,Cliente 26,Empresa Agro,Cordoba,Río Cuarto,Gran productor,2023-06-24
27,Cliente 27,Contratista,Santiago del Estero,Quimilí,Mediano productor,2023-11-04
28,Cliente 28,Empresa Agro,Chaco,Charata,Mediano productor,2023-05-21
29,Cliente 29,Productor,Santa fé,Rafaela,Contratista,2023-07-01
30,Cliente 30,Productor,Sal Ta,Güemes,Contratista,2023-10-27
31,Cliente 31,Productor,Santiago del Estero,Quimilí,Mediano productor,2023-10-03
32,Cliente 32,Empresa Agro,Santa fé,Rafaela,Contratista,2023-07-07
33,Cliente 33,Productor,Salta,Metán,Pequeño productor,2023-02-19
34,Cliente 34,Productor,Chaco ,Villa Ángela,,2023-11-10
35,Cliente 35,Contratista,Salta,Güemes,Pequeño productor,s/d
36,Cliente 36,Productor,Chaco,Villa Ángela,Mediano productor,2023-03-18
37,Cliente 37,Contratista,Salta,Güemes,Gran productor,2023-05-18
38,Cliente 38,Contratista,Sta Fe,Rafaela,Pequeño productor,2023-01-20
39,Cliente 39,Productor,Córdoba,Villa María,Pequeño productor,s/d
40,Cliente 40,Empresa Agro,Córdoba,Río Cuarto,Gran productor,2023-10-22
41,Cliente 41,Productor,Chaco,Villa Ángela,contratista,2023-05-30
42,Cliente 42,Empresa Agro,SANTIAGO,Bandera,Pequeño productor,s/d
43,Cliente 43,Contratista,Sta Fe,Rafaela,Pequeño productor,2023-03-23
44,Cliente 44,Empresa Agro,Santa Fe,Rosario,Mediano productor,2023-03-12
45,Cliente 45,Productor,sgo del estero,Bandera,Gran productor,2023-08-03
46,Cliente 46,Productor,Sta Fe,Rafaela,,2023-01-22
47,Cliente 47,Productor,Santiago del Estero,Bandera,Pequeño productor,2023-03-21
48,Cliente 48,Productor,Santa Fe,Rosario,Gran productor,2023-02-21
49,Cliente 49,Contratista,Santiago del Estero,Bandera,Gran productor,2023-11-26
50,Cliente 50,Productor,Santiago del Estero,Bandera,Gran productor,s/d
51,Cliente 51,Contratista,Santa Fe,Rafaela,Mediano productor,s/d
52,Cliente 52,Productor,Córdoba,Villa María,Pequeño productor,2023-12-14
53,Cliente 53,Contratista,CHAco,Villa Ángela,Mediano productor,2023-05-16
54,Cliente 54,Contratista,Córdoba,Río Cuarto,Gran productor,s/d
55,Cliente 55,Productor,Santiago del Estero,Bandera,Gran productor,2023-01-01
56,Cliente 56,Productor,Chaco,Villa Ángela,Pequeño productor,s/d
57,Cliente 57,Productor,Santiago del Estero,Bandera,Mediano productor,2023-05-22
58,Cliente 58,Productor,Córdoba,Río Cuarto,Gran productor,2023-05-06
59,Cliente 59,Contratista,Santiago del Estero,Bandera,Gran productor,2023-03-01
60,Cliente 60,Empresa Agro,Salta,Metán,Contratista,2023-02-19
61,Cliente 61,Empresa Agro,Santa Fe,Rosario,Contratista,2023-09-12
62,Cliente 62,Contratista,SANTIAGO,Quimilí,Mediano productor,2023-01-01
63,Cliente 63,Empresa Agro,Sal Ta,Güemes,Prod.,2023.06.09
64,Cliente 64,Contratista,sgo del estero,Quimilí,Mediano productor,2023-04-11
65,Cliente 65,Contratista,Santiago del Estero,Bandera,Mediano productor,2023-08-11
66,Cliente 66,Contratista,Salta,Güemes,Contratista,2023-12-22
67,Cliente 67,Contratista,Santa fé,Rafaela,Gran productor,s/d
68,Cliente 68,Empresa Agro,CBA,Río Cuarto,Mediano productor,s/d
69,Cliente 69,Productor,Chaco,Villa Ángela,Pequeño productor,2023-09-25
70,Cliente 70,Empresa Agro,Santa fé,Rafaela,Mediano productor,2023-02-09
71,Cliente 71,Productor,Córdoba,Villa María,Pequeño productor,2023-07-14
72,Cliente 72,Contratista,Santa Fe,Rosario,Mediano productor,s/d
73,Cliente 73,Empresa Agro,cordoba,Villa María,Contratista,2023-07-08
74,Cliente 74,Contratista,Córdoba,Río Cuarto,Pequeño productor,s/d
75,Cliente 75,Productor,Córdoba,Río Cuarto,Mediano productor,2023.06.29
76,Cliente 76,Empresa Agro,Chaco,Charata,Gran productor,2023-04-03
77,Cliente 77,Contratista,Santa Fe,Rafaela,Gran productor,2023-08-22
78,Cliente 78,Productor,Sgo.,Bandera,Mediano productor,2023-05-20
