VentaID,FechaVenta,ClienteID,EmpleadoID,SucursalID,ProductoID,Cantidad,PrecioUnitario,ImporteTotal,CanalVenta,MedioPago,Moneda,Year,Month
1,2023-11-27,302,49,1,1109,1,134640,134640,Mostrador,Tarjeta crédito,USD,2023,11
2,2024-12-18,633,43,1,1258,1,217220,217220,Mostrador,Tarjeta débito,ARS,2024,12
3,2024-09-11,889,43,1,1045,4,407940,1631760,Campo,Tarjeta crédito,USD,2024,9
4,2024-04-18,203,17,3,1269,1,431230,431230,Mostrador,Tarjeta débito,ARS,2024,4
5,2023-06-21,289,55,2,1026,5,4299550,21497750,Mostrador,Cheque,USD,2023,6
6,2023-06-21,180,46,4,1160,1,291270,291270,Online,Tarjeta débito,ARS,2023,6
7,2023-03-05,81,30,1,1278,1,6542540,6542540,Teléfono,Cheque,USD,2023,3
8,2024-11-25,567,42,3,1133,1,1983610,1983610,Mostrador,Efectivo,ARS,2024,11
9,2024-04-21,691,13,4,1055,1,3125440,3125440,Campo,Tarjeta débito,ARS,2024,4
10,2024-08-16,610,4,4,1145,5,175640,878200,Teléfono,Efectivo,USD,2024,8
11,2023-01-23,110,1,4,1235,1,1667330,1667330,Teléfono,Tarjeta débito,ARS,2023,1
12,2024-12-23,424,36,4,1179,1,57590,57590,Teléfono,Tarjeta débito,ARS,2024,12
13,2024-11-16,665,38,4,1208,1,5676350,5676350,Campo,Cheque,ARS,2024,11
14,2023-08-21,125,20,1,1136,1,348550,348550,Online,Cheque,ARS,2023,8
15,2023-07-19,91,22,2,1275,5,4470750,22353750,Teléfono,Tarjeta débito,USD,2023,7
16,2023-07-21,294,51,1,1197,1,1987080,1987080,Online,Efectivo,ARS,2023,7
17,2023-11-08,393,43,1,1183,3,338100,1014300,Online,Efectivo,USD,2023,11
18,2024-01-28,37,19,1,1061,4,411160,1644640,Online,Transferencia,ARS,2024,1
19,2023-12-13,5,32,1,1063,3,49040,147120,Online,Efectivo,USD,2023,12
